Time,Dropped,Passed,ServiceRate,NAverage,QueueSize
60.04,2306,2306,41,360,300,2980703837070
60.04,2306,2306,41,360,300,2980703837070
62.04,0,0,326,76,254,2988719339251
62.04,0,0,326,76,254,2988719339251
62.04,2425,0,326,76,254,2988719339251
62.04,2425,2425,326,76,254,2988719339251
62.04,2425,2425,326,76,254,2988719339251
64.04,0,0,123,187,300,2988719339251
64.04,0,0,123,187,300,2988719339251
64.04,2536,0,123,187,300,2988719339251
64.04,2536,2536,123,187,300,2988719339251
64.04,2536,2536,123,187,300,2988719339251
66.05,0,0,76,297,300,2988719339251
66.05,0,0,76,297,300,2988719339251
66.05,2646,0,76,297,300,2988719339251
66.05,2646,2646,76,297,300,2988719339251
66.05,2646,2646,76,297,300,2988719339251
68.05,0,0,55,353,300,2988719339251
68.05,0,0,55,353,300,2988719339251
68.05,2702,0,55,353,300,2988719339251
68.05,2702,2702,55,353,300,2988719339251
68.05,2702,2702,55,353,300,2988719339251
70.05,0,0,316,70,258,2996729250722
70.05,0,0,316,70,258,2996729250722
70.05,2814,0,316,70,258,2996729250722
70.05,2814,2814,316,70,258,2996729250722
70.05,2814,2814,316,70,258,2996729250722
72.05,0,0,121,187,300,2996729250722
72.05,0,0,121,187,300,2996729250722
72.05,2931,0,121,187,300,2996729250722
72.05,2931,2931,121,187,300,2996729250722
72.05,2931,2931,121,187,300,2996729250722
74.05,0,0,75,301,300,2996729250722
74.05,0,0,75,301,300,2996729250722
74.05,3045,0,75,301,300,2996729250722
74.05,3045,3045,75,301,300,2996729250722
74.05,3045,3045,75,301,300,2996729250722
76.05,0,0,56,402,300,2996729250722
76.05,0,0,56,402,300,2996729250722
76.05,3146,0,56,402,300,2996729250722
76.05,3146,3146,56,402,300,2996729250722
76.05,3146,3146,56,402,300,2996729250722
78.05,0,0,345,73,255,3004737710747
78.05,0,0,345,73,255,3004737710747
78.05,3240,0,345,73,255,3004737710747
78.05,3240,3240,345,73,255,3004737710747
78.05,3240,3240,345,73,255,3004737710747
80.06,0,0,130,190,300,3004737710747
80.06,0,0,130,190,300,3004737710747
80.06,3357,0,130,190,300,3004737710747
80.06,3357,3357,130,190,300,3004737710747
80.06,3357,3357,130,190,300,3004737710747
82.06,0,0,80,305,300,3004737710747
82.06,0,0,80,305,300,3004737710747
82.06,3472,0,80,305,300,3004737710747
82.06,3472,3472,80,305,300,3004737710747
82.06,3472,3472,80,305,300,3004737710747
84.06,0,0,58,417,300,3004737710747
84.06,0,0,58,417,300,3004737710747
84.06,3584,0,58,417,300,3004737710747
84.06,3584,3584,58,417,300,3004737710747
84.06,3584,3584,58,417,300,3004737710747
86.06,0,0,365,25,279,3012738241243
86.06,0,0,365,25,279,3012738241243
86.06,3648,0,365,25,279,3012738241243
86.06,3648,3648,365,25,279,3012738241243
86.06,3648,3648,365,25,279,3012738241243
