Time,Dropped,Passed,ProcessingTime
0.00,0,0,0
2.00,13,11,1228
4.00,22,25,1919
6.00,37,43,761
8.00,44,51,1953
10.01,61,72,725
12.01,78,89,1312
14.01,89,98,1775
16.01,109,114,2072
18.01,134,152,1875
20.01,150,163,1890
22.01,172,187,1888
24.02,190,196,1976
26.02,202,200,1932
28.02,232,235,1431
30.02,251,248,2011
32.02,271,271,494
34.02,284,292,1163
36.02,301,307,2509
38.02,313,326,2322
40.02,325,343,1950
42.03,347,362,1139
44.03,375,393,1064
46.03,394,407,1415
48.03,406,421,470
