Timestamp,RX Packets,TX Packets,RX Bytes,TX Bytes,Dropped Packets,Lambda,Current State,Queue Size
Timestamp,Packet Count,Average Count,Queue Size,Rx Packets,Rx Bytes,Tx Packets,Tx Bytes,Dropped Packets,Lambda,Current State,Last Update
2024-10-08T18:06:28+05:30,0,1000,0,0,0,0,0,0,0,0,0
2024-10-08T18:06:29+05:30,0,1000,0,0,0,0,0,0,0,0,0
2024-10-08T18:06:30+05:30,0,1000,0,0,0,0,0,0,0,0,0
2024-10-08T18:06:31+05:30,0,1000,0,0,0,0,0,0,0,0,0
2024-10-08T18:06:32+05:30,0,1000,0,0,0,0,0,0,0,0,0
2024-10-08T18:06:33+05:30,0,1000,0,0,0,0,0,0,0,0,0
Timestamp,Packet Count,Average Count,Queue Size,Rx Packets,Rx Bytes,Tx Packets,Tx Bytes,Dropped Packets,Lambda,Current State,Last Update
2024-10-08T18:08:02+05:30,15,999,15,0,0,0,0,0,0,0,0
2024-10-08T18:08:03+05:30,15,999,15,0,0,0,0,0,0,0,0
2024-10-08T18:08:04+05:30,15,998,30,0,0,0,0,0,0,0,0
2024-10-08T18:08:05+05:30,20,998,35,0,0,0,0,0,0,0,0
2024-10-08T18:08:06+05:30,24,997,59,0,0,0,0,0,0,0,0
2024-10-08T18:08:07+05:30,1,996,60,0,0,0,0,0,0,0,0
2024-10-08T18:08:08+05:30,10,995,82,0,0,0,0,0,0,0,0
2024-10-08T18:08:09+05:30,11,995,83,0,0,0,0,0,0,0,0
2024-10-08T18:08:10+05:30,26,994,109,0,0,0,0,0,0,0,0
2024-10-08T18:08:11+05:30,26,994,109,0,0,0,0,0,0,0,0
2024-10-08T18:08:12+05:30,20,993,129,0,0,0,0,0,0,0,0
2024-10-08T18:08:13+05:30,1,992,131,0,0,0,0,0,0,0,0
2024-10-08T18:08:14+05:30,16,992,146,0,0,0,0,0,0,0,0
2024-10-08T18:08:15+05:30,5,991,151,0,0,0,0,0,0,0,0
2024-10-08T18:08:16+05:30,38,990,189,0,0,0,0,0,0,0,0
2024-10-08T18:08:17+05:30,38,990,189,0,0,0,0,0,0,0,0
2024-10-08T18:08:18+05:30,16,989,205,0,0,0,0,0,0,0,0
2024-10-08T18:08:19+05:30,16,989,205,0,0,0,0,0,0,0,0
2024-10-08T18:08:20+05:30,28,988,233,0,0,0,0,0,0,0,0
2024-10-08T18:08:21+05:30,1,987,234,0,0,0,0,0,0,0,0
2024-10-08T18:08:22+05:30,16,987,249,0,0,0,0,0,0,0,0
2024-10-08T18:08:23+05:30,2,986,251,0,0,0,0,0,0,0,0
Timestamp,Packet Count,Average Count,Queue Size,Rx Packets,Rx Bytes,Tx Packets,Tx Bytes,Dropped Packets,Lambda,Current State,Last Update
2024-10-08T18:15:00+05:30,10,999,10,0,0,0,0,0,0,0,0
2024-10-08T18:15:01+05:30,5,998,15,0,0,0,0,0,0,0,0
2024-10-08T18:15:02+05:30,1,997,27,0,0,0,0,0,0,0,0
2024-10-08T18:15:03+05:30,7,997,33,0,0,0,0,0,0,0,0
2024-10-08T18:15:04+05:30,19,996,52,0,0,0,0,0,0,0,0
2024-10-08T18:15:05+05:30,13,995,65,0,0,0,0,0,0,0,0
2024-10-08T18:15:06+05:30,1,994,84,0,0,0,0,0,0,0,0
2024-10-08T18:15:07+05:30,5,993,99,0,0,0,0,0,0,0,0
2024-10-08T18:15:08+05:30,17,993,111,0,0,0,0,0,0,0,0
2024-10-08T18:15:09+05:30,16,992,127,0,0,0,0,0,0,0,0
2024-10-08T18:15:10+05:30,26,992,137,0,0,0,0,0,0,0,0
2024-10-08T18:15:11+05:30,6,991,143,0,0,0,0,0,0,0,0
2024-10-08T18:15:12+05:30,10,990,153,0,0,0,0,0,0,0,0
2024-10-08T18:15:13+05:30,6,989,160,0,0,0,0,0,0,0,0
2024-10-08T18:15:14+05:30,5,988,175,0,0,0,0,0,0,0,0
2024-10-08T18:15:15+05:30,11,987,186,0,0,0,0,0,0,0,0
2024-10-08T18:15:16+05:30,28,987,203,0,0,0,0,0,0,0,0
2024-10-08T18:15:17+05:30,7,986,210,0,0,0,0,0,0,0,0
2024-10-08T18:15:18+05:30,17,986,220,0,0,0,0,0,0,0,0
2024-10-08T18:15:19+05:30,16,985,236,0,0,0,0,0,0,0,0
2024-10-08T18:15:20+05:30,28,985,248,0,0,0,0,0,0,0,0
2024-10-08T18:15:21+05:30,8,984,256,0,0,0,0,0,0,0,0
2024-10-08T18:15:22+05:30,5,983,271,0,0,0,0,0,0,0,0
2024-10-08T18:15:23+05:30,5,982,276,0,0,0,0,0,0,0,0
2024-10-08T18:15:24+05:30,20,982,291,0,0,0,0,0,0,0,0
2024-10-08T18:15:25+05:30,11,981,302,0,0,0,0,0,0,0,0
2024-10-08T18:15:26+05:30,26,981,317,0,0,0,0,0,0,0,0
2024-10-08T18:15:27+05:30,5,980,322,0,0,0,0,0,0,0,0
2024-10-08T18:15:28+05:30,15,980,332,0,0,0,0,0,0,0,0
2024-10-08T18:15:29+05:30,17,979,349,0,0,0,0,0,0,0,0
2024-10-08T18:15:30+05:30,31,979,363,0,0,0,0,0,0,0,0
2024-10-08T18:15:31+05:30,6,978,369,0,0,0,0,0,0,0,0
Timestamp,Packet Count,Average Count,Queue Size,Rx Packets,Rx Bytes,Tx Packets,Tx Bytes,Dropped Packets,Lambda,Current State,Last Update
2024-10-08T18:15:50+05:30,11,999,11,0,0,0,0,0,0,0,0
Timestamp,Packet Count,Average Count,Queue Size,Rx Packets,Rx Bytes,Tx Packets,Tx Bytes,Dropped Packets,Lambda,Current State,Last Update
2024-10-08T18:15:55+05:30,5,999,5,0,0,0,0,0,0,0,0
2024-10-08T18:15:56+05:30,24,998,30,0,0,0,0,0,0,0,0
2024-10-08T18:15:57+05:30,1,997,31,0,0,0,0,0,0,0,0
2024-10-08T18:15:58+05:30,13,996,49,0,0,0,0,0,0,0,0
2024-10-08T18:15:59+05:30,13,996,49,0,0,0,0,0,0,0,0
2024-10-08T18:16:00+05:30,25,995,74,0,0,0,0,0,0,0,0
2024-10-08T18:16:01+05:30,25,995,74,0,0,0,0,0,0,0,0
2024-10-08T18:16:02+05:30,15,994,89,0,0,0,0,0,0,0,0
2024-10-08T18:16:03+05:30,16,994,90,0,0,0,0,0,0,0,0
2024-10-08T18:16:04+05:30,16,993,106,0,0,0,0,0,0,0,0
2024-10-08T18:16:05+05:30,7,992,113,0,0,0,0,0,0,0,0
2024-10-08T18:16:06+05:30,25,991,138,0,0,0,0,0,0,0,0
2024-10-08T18:16:07+05:30,1,990,140,0,0,0,0,0,0,0,0
2024-10-08T18:16:08+05:30,14,989,161,0,0,0,0,0,0,0,0
2024-10-08T18:16:09+05:30,3,988,164,0,0,0,0,0,0,0,0
2024-10-08T18:16:10+05:30,11,987,190,0,0,0,0,0,0,0,0
2024-10-08T18:16:11+05:30,11,987,190,0,0,0,0,0,0,0,0
2024-10-08T18:16:12+05:30,16,986,206,0,0,0,0,0,0,0,0
2024-10-08T18:16:13+05:30,1,985,207,0,0,0,0,0,0,0,0
2024-10-08T18:16:14+05:30,20,985,226,0,0,0,0,0,0,0,0
2024-10-08T18:16:15+05:30,4,984,230,0,0,0,0,0,0,0,0
2024-10-08T18:16:16+05:30,24,983,254,0,0,0,0,0,0,0,0
2024-10-08T18:16:17+05:30,1,982,257,0,0,0,0,0,0,0,0
2024-10-08T18:16:18+05:30,12,981,274,0,0,0,0,0,0,0,0
2024-10-08T18:16:19+05:30,3,980,277,0,0,0,0,0,0,0,0
2024-10-08T18:16:20+05:30,32,980,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:21+05:30,12,979,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:22+05:30,17,978,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:23+05:30,6,977,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:24+05:30,2,976,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:25+05:30,8,975,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:26+05:30,4,974,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:27+05:30,5,973,301,0,0,0,0,0,0,0,0
2024-10-08T18:16:28+05:30,4,972,301,0,0,0,0,0,0,0,0
